,fileName,tags
0,43,design; emergenc; systems biology; biolog; robustnes; systems; type  review; 2002; metabolism; engineering; complexity; key  systems biology; key  robustness; network; modeling; parsimon; key  regulatory networ; biological model; intro; cell; robustness; contro
1,44,surve; bistabilit; small world; networks; review; 200; social networks; networ; network biologica; grap; adaptive systems; complexity; exploring; network; coupled oscillator; neurons; graphs; complex networks; complex network; comple; survey; graph mining; strogat
2,47,web graph; citeulike; searc; navigation; complex network; model; complexity; network; networ; networks; small world; socia
3,99,model; disease; complex; small world; networks; clustering; social networks; networ; systems; datamining; thesi; graph; complexity; network; graphs; dynamic; small worl; complex networks; complex network; dynamics; network dynamic; theoretical; small world network; time oriented scienc; complex systems; bistability; smallworld; dynami
4,101,web graph; protein protein; networks; networ; complexit; combinatorics; datamining; motif; patterns; applied math; 2002; protein; complexity; moti; net paper; modularity; sysbio; link analysis; web characterization; network; computer science; graphs; motifs; data minin; sub graph pattern; origina
5,229,genomepape; whole genome; 1; comparative genomics; evolution; sequenc; cited; msa; genome; genom; rodents; key  genom; sequencin; mous; genome pape; system  mouse; mouse
6,248,review; systems biology; revie; d; systemsbiology; systemsbiolog; plasticity; printed; overview; sec background sysbio; sysbio
7,249,system; modellin; systems biology; d; simulation; biolog; neuron; informationtheory; systemsbiology; review; biology; 2002; metabolism; complexity; sysbio; ca; overview; computational; evolution; systems biolog; biological model; intro; modelling; sec background sysbio
8,272,transcription networ; tfs; trn; simulation; genome; bi; regulation; graph based analysis; yeast; topology; networ; motif; scale free; yeas; metabolis; bioinformatics; network; reconstruct pathway; dynamic; dynamics; transcriptio; datasets; evolution; systems biolog; topolog; protein networks; regulatory
9,292,biological; a; design; system; literature based discovery; scientist; robot; systems; fo; experimental; automation; agi; for
10,2100,model; metabolic networks; expression; systems biology; deletion; genome; systemsbiology; popcor; methodspaper; proteomics; networks; metaboli; perturbed; yeast; systems; protein; reverse engineerin; bioinformatics; network; bioinformatic; analysis; genomics; proteomic; data integration; array; integration
11,2107,affin cut; bivoc; expression; cis regulation; revie; tfnet; thesis; gene; reconstruction; networks; yeast; networ; chip; chi; yeas; transcription; chip2; network; network motifs; genomi; transcriptional regulation; genomics; feedback
12,3594,network motif; sysbio; motifs; network; networ; protein protei; motif; interaction; genetics; regulation; yeas; p2; regulatory; transcription; networks
13,80410,neuroimaging; localcircuit; circuits; rat; imaging; long evans; neuroscience; optical imaging; neuroscienc; columnar organizatio; column; neuroanatom; neuro tech; cellular; cortex; architectur; brain anatomy; neuro connectivit; two photon; methods; network; visua; columns; functional; 2p; visual; visual cortex; neuroanatomy; cat; v; twophoton; calcium; anatomy; neur
14,81501,community structur; community detection; clusterin; network; social networks; socialnetwork; book; community; subgroups; scale free network; communities
15,84176,comple; network; similarity; self similarity; complexit; complex; structur; fractality; self organisation; networks; scale free networks; complex network; fractal
16,84309,gametheory; la; policy; digital; intellectua; journalscan; i; information; economics; copyrights; property; rights
17,86487,; regions; ncrna; expression; molecular general; mirn; microrna; regulatory cascades; mirna target; specificity; rna; molecular signaling; networ; organ; genetics; microrna microarray; microarray; micrornas; untranslated; microarra; target; regulatory; microrn
18,86865,electrophysiology; monke; eyemovements; brain; neuroeconomics; limitations; lip; neuroscienc; other; quals;  francesca; neurophysiology; cortex; li; reward; rewar; neurophysiolog; neurons; pp; monkey; reinforcementlearning; monkeys; decisionmaking; decision makin; decision making; choice; decision
19,90558,graph theory; complex network; model; networ; 1999; network; growth; adaptive system; scale free; mode; applied math; preferantial attachment; power law; graph; networks; complex networks; complexity; emergence
