,fileName,tags
0,101.tags,"motifs
networks
original
"
1,2107.tags,"yeast
networks
"
2,272.tags,"datasets
networks
"
3,3594.tags,"networks
motifs
"
4,43.tags,"robustness
engineering
control
"
5,44.tags,"review
networks
survey
strogatz
"
6,47.tags,"navigation
citeulike
networks
"
7,99.tags,"networks
dynamics
"
8,101.tags,"networks
motifs
"
9,303213.tags,"citeulike
social bookmarking
"
10,303889.tags,"social networks
email
search
networks
"
11,3594.tags,"motifs
sysbio
networks
"
12,47.tags,"networks
navigation
small world
search
"
13,84176.tags,"similarity
networks
complexity
"
14,141840.tags,"clustering
microarray
method
"
15,238188.tags,"blast
sequence
search
"
16,239528.tags,"dna
normalization
method
microarray
rma
"
17,1320727.tags,"genotype phenotype
gene expression
"
18,136657.tags,"review
text mining
"
19,227153.tags,"human
whole genome
"
20,272363.tags,"text mining
review
"
21,312476.tags,"unsupervised learning
nlp
"
22,438129.tags,"media
credibility
"
23,738207.tags,"citation context
nlp
"
24,112878.tags,"human
ultraconserved
uce
genome
"
25,1465869.tags,"phenotype
human
genome
genetics
variation
population dynamics
population
"
26,2100.tags,"systemsbiology
popcorn
"
27,2288308.tags,"alignment
phyloalignment
test
phylogeny
"
28,329170.tags,"popcorn
evolution
protein evolution
"
29,420465.tags,"selection
evolution
genome
conserved
"
30,329170.tags,"protein structure
statistical coupling analysis
correlated mutations
protein evolution
protein sequence
"
31,354027.tags,"comparative modeling
protein structure
protein interaction
"
32,778023.tags,"pca
neural networks
statistics
algorithms
r
"
33,1016800.tags,"evolution
protein structure
networks
"
34,329170.tags,"evolution
folding
coevolution
"
35,332173.tags,"contact map
active site
evolution
function prediction
"
36,333353.tags,"theory
systems biology
gene networks
evolution
"
37,406519.tags,"robustness
modeling
systems biology
control
evolution
network motifs
"
38,43.tags,"systems biology
robustness
"
39,155900.tags,"infant
false belief
belief
psychology
theory of mind
"
40,1632947.tags,"cognition
primate
rationality
"
41,1752368.tags,"evolution
word
modeling
language evolution
word frequency
language
"
42,211497.tags,"language evolution
language
modeling
linguistics
evolution
"
43,265789.tags,"cognition
linguistics
development
evolution
brain
language acquisition
learning
language
"
44,312124.tags,"learning
statistics
language acquisition
artificial grammar
child
development
"
45,312476.tags,"language
language acquisition
computational linguistics
machine learning
learning
nlp
linguistics
unsupervised learning
statistics
grammar
"
46,400238.tags,"imitation
tms
action
brain
mirror neuron
"
47,507525.tags,"bayesian
reasoning
causality
rat
"
48,602903.tags,"recursion
songbird
syntax
language evolution
commentary
bird
"
49,609199.tags,"number
sapir whorf hypothesis
"
50,656280.tags,"cognition
tool
apes
"
51,771168.tags,"theory of mind
scrub jay
bird
"
52,778023.tags,"connectionist
statistics
modeling
"
53,2100.tags,"genomics
networks
metabolic networks
bioinformatics
systems biology
proteomics
"
54,2100.tags,"data integration
reverse engineering
"
55,303213.tags,"cannotea
citeulike
"
56,740681.tags,"social networks
metadata
tagging
social informatics
folksonomies
bookmarking
"
57,106364.tags,"regulatory
motif
"
58,141840.tags,"clustering
expression
"
59,332150.tags,"mammalian
transcription
"
60,334264.tags,"interactome
proteome
"
61,466050.tags,"regulatory
expression
"
62,466068.tags,"transcription
regulatory
"
63,47.tags,"small world
network
"
64,1989097.tags,"genetics
vertebrates
primates
data mining
proteins
sequence
humans
phylogenomics
amino acid
animals
rna
methods
homology
genome
algorithms
hominidae
mammals
"
65,231294.tags,"likelihood
inference
software
bayesian
phylogeny
"
66,415502.tags,"alignment
databases
algorithms
methods
programming
software
data mining
"
67,444860.tags,"rats
vertebrates
sequence
genetics
rodents
genome
phylogenomics
mammals
data mining
animals
"
68,1016800.tags,"protein networks
quaternary structure
ppi review
ppi evolution
"
69,227153.tags,"classics
1st yr report
"
70,238188.tags,"sequence alignment
1st yr report
classics
"
71,354027.tags,"interface properties
ppi review
modelling interactions
"
72,833421.tags,"systems biology
snps
protein networks
scale free
"
73,118727.tags,"structures
general rna
"
74,1272533.tags,"analysis
statistics
"
75,2288308.tags,"phylogenetics
genomics
"
76,355574.tags,"evolution
proteins
"
77,668933.tags,"reviews
molecular
genomics
"
78,771144.tags,"general rna
reviews
mirna
"
79,1133633.tags,"clustering
rna
structure alignment
secondary structure
"
80,126997.tags,"protein folding
structural genomics
computational biology
evolution
protein structure
"
81,1336057.tags,"genome
ncrna
classification
"
82,150261.tags,"structure
rna
secondary structure
bioinformatics
"
83,329170.tags,"software
protein folding
protein structure
bioinformatics
"
84,332173.tags,"biophysics
structure prediction
bioinformatics
statistical potentials
sequence alignment
"
85,355574.tags,"evolution
genes
"
86,437770.tags,"software
bioinformatics
rna
secondary structure
"
87,523878.tags,"ncrna
rna
genome
"
88,612608.tags,"bioinformatics
secondary structure
rna
statistics
"
89,668933.tags,"rna
views
"
90,771144.tags,"rna
review
"
91,833421.tags,"bioinformatics
protein interactions
"
92,880918.tags,"disease
bioinformatics
genome
drug
"
93,937059.tags,"stem cells
systems biology
protein interactions
"
94,101.tags,"net paper
networks
"
95,126997.tags,"structure prediction
protein structure
"
96,302050.tags,"net paper
networks
"
97,333353.tags,"systems biology
networks
network motif
"
98,355573.tags,"memory
basal ganglia
explore exploit
reinforcement learning
striatum
prefrontal cortex
"
99,438129.tags,"information
internet
comunication
wikipedia
article
wiki
comparison
media
incentives
collaborative communities
credibility
science
informatica
research
nature
quality
"
100,1206611.tags,"evolution
sociology
quantifying
cell
complexity
auto correlation
community
collaboration
dynamics
complex network
07
k clique
social network
percolation
network
socialnetworking
networks dynamic
networks
phone
social networks
cooperation
networktheory
quantitative
social dynamics
social networks
social
social analysis
taggingpres
scientific
generations
tagging
swarm
sociophysics
social network
cultural evolution
group
social structure
"
101,1465869.tags,"bottlenecks
population
phenotypic
on
variation
ancient
human
"
102,44.tags,"networks
complex
"
103,459365.tags,"evolving
social
network
"
104,249.tags,"biological model
systems biology
modelling
"
105,43.tags,"systems biology
systems
biological model
robustness
emergence
"
106,1752368.tags,"real data
nowak
modeling
verb
math
frequency
language evolution
"
107,211497.tags,"modeling
syntax
language evolution
nowak
math
"
108,265789.tags,"chomsky
language evolution
"
109,106364.tags,"regulation
motif
promoter
"
110,141840.tags,"genome
expression
clustering
"
111,2100.tags,"genome
perturbed
protein
network
metabolic
"
112,334264.tags,"interaction
protein
network
"
113,407273.tags,"biology
systems
integration
"
114,506455.tags,"regulation
gene
"
115,553494.tags,"protein
expression
stochastic
"
116,303213.tags,"citeulike
connotea
society
social bookmarking
nature publishing group
social software
"
117,499796.tags,"cmc
digital divide
identity
social interaction
online behavior
social networks
virtual
community
social capital
internet surveys
internet
"
118,98486.tags,"haptic
visual
proprioceptive
optimal
integration
motor
sensorimotor
control
"
119,332150.tags,"genome
transcriptome
"
120,466068.tags,"tfbs
regulation
over representation
promoter
"
121,332150.tags,"annotation
human
expression
"
122,355574.tags,"evolution
human
"
123,309778.tags,"network
inflammation
"
124,466068.tags,"network
yeast
transcription
"
125,504894.tags,"breast
microarray
cancer
survival
"
126,101.tags,"combinatorics
networks
applied math
complexity
"
127,1097231.tags,"genome variation
evolutionary genomics
gene expression
genotype to phenotype
evolution
copy number
evo devo
"
128,112878.tags,"informatics
nat selection tests
modeling and simulation
whole genomic
evolutionary genomics
evolution
"
129,118727.tags,"systems biology
informatics
machine learning
evolutionary proteomics
"
130,1320727.tags,"evolvability
gene expression
gene gene
whole genomic
genotype to phenotype
genome variation
diseaseomics
evolutionary genomics
evolutionary proteomics
evolution
"
131,1362387.tags,"complexity
whole genomic
gene expression
"
132,1392792.tags,"genotype to phenotype
gene expression
heredity
genome variation
informatics
orthologs paralogs
"
133,141524.tags,"molecular signaling
gene expression
molecular general
ecophysiology
adaptive systems
morphogenesis
"
134,1465869.tags,"evolutionary genomics
genome variation
anthropometry
evolution
evolution of intelligence
pop gen
cultural evolution
"
135,1910555.tags,"evo computation
evolvability
systems biology
informatics
genotype to phenotype
gene expression
evolution
"
136,1989097.tags,"gene expression
evolutionary proteomics
evolution
genome variation
"
137,2235507.tags,"gene expression
systems biology
evolutionary genomics
evolution
"
138,332150.tags,"animal model
gene expression
development
evolution
morphogenesis
"
139,363614.tags,"informatics
complexity
modeling and simulation
networks
"
140,406519.tags,"evolution
biological inspired modeling
"
141,44.tags,"adaptive systems
networks
complexity
bistability
"
142,466050.tags,"evolution
evo computation
systems biology
homeotic theory
genotype to phenotype
evo devo
evolvability
"
143,466068.tags,"systems biology
whole genomic
evo devo
evo computation
regulatory cascades
genome structure
gene expression
evolutionary genomics
"
144,47.tags,"complexity
networks
"
145,506455.tags,"regulatory cascades
gene expression
morphogenesis
development
evolution
molecular signaling
"
146,80410.tags,"brain anatomy
methods
neuro tech
neuro connectivity
"
147,86487.tags,"molecular signaling
regulatory cascades
molecular general
microarray
"
148,90558.tags,"graph theory
complexity
applied math
networks
adaptive systems
"
149,98486.tags,"cog neuro
applied math
modeling and simulation
perception
sensory systems
multisensory integration
"
150,99.tags,"bistability
networks
complexity
time oriented science
"
151,101973.tags,"learning
basalganglia
striatum
striatothalamocortical
reversal
dlpfc
"
152,1272533.tags,"statistics
graphs
"
153,1391621.tags,"070207
coherence
lfp
lip
mt
attention
"
154,1418865.tags,"inhibition
vta
snc
habenula
rat
prediction
"
155,1632947.tags,"inference
monkey
"
156,261639.tags,"rat
eligibilitytrace
td model
dopamine
reinforcementlearning
"
157,353537.tags,"dopamine
reinforcementlearning
review
td model
reward
"
158,407273.tags,"omnibus
statistics
combination
"
159,465989.tags,"amygdala
ambiguity
uncertainty
"
160,506468.tags,"amygdala
aversive
reward
reinforcement
monkey
punishment
airpuff
reinforcementlearning
"
161,802975.tags,"basalganglia
ventralstriatum
striatum
neuroanatomy
monkey
"
162,86865.tags,"decisionmaking
lip
eyemovements
monkey
reinforcementlearning
reward
"
163,98486.tags,"estimation
cuecombination
psychophysics
mle
"
164,238188.tags,"z paper strainer
software
assembly
bioinformatics
"
165,406519.tags,"network
regulation
bacteria
"
166,415502.tags,"x bioinf software
software
genetics
"
167,100166.tags,"inference
a exam
"
168,137111.tags,"a exam
evolution
"
169,101973.tags,"learning
striatum
neurophysiology
monkey
prefrontal
"
170,1197981.tags,"neurophysiology
monkey
prefrontal
attention
fef
lip
"
171,121661.tags,"reward
monkey
neurophysiology
dopamine
"
172,1322799.tags,"discounting
choicebehavior
neuroeconomics
fmri
neuroimaging
human
"
173,1418865.tags,"neurophysiology
reinforcement learning
dopamine
rat
habenula
"
174,1926414.tags,"sleep
rat
electrophysiology
memory
hippocampus
prefrontal
"
175,261639.tags,"reinforcement learning
classical conditioning
rat
neurophysiology
dopamine
"
176,430079.tags,"vision
neurophysiology
review
"
177,506468.tags,"reward
neurophysiology
monkey
learning
amygdala
"
178,507926.tags,"human
decisionmaking
implicit
"
179,802975.tags,"ventral striatum
 pg
reward
monkey
neuroanatomy
"
180,80410.tags,"twophoton
optical imaging
localcircuit
neuroanatomy
"
181,86865.tags," francesca
decisionmaking
lip
neurophysiology
monkey
"
182,422950.tags,"publishing
xml
web
"
183,778023.tags,"neural
data
network
neuralnetwork
"
184,1197981.tags,"yigal
kristina
attention
joo seuk
"
185,1272533.tags,"errorbars
statistics
bob
visionlab
"
186,1391621.tags,"heather
attention
joo seuk
arash
kristina
"
187,1392584.tags,"joo seuk
attention
kristina
heather
oscillations
"
188,1568644.tags,"rate code
kristina
"
189,400238.tags,"yigal
jessica
gestures
imitation
"
190,430079.tags,"heather
vision
visual memory
"
191,1016800.tags,"binding
evolution
phd
networks
structure
"
192,1272533.tags,"validation
classification
statistics
classic
microarray
gene regulation
"
193,142323.tags,"binding
structure
"
194,1551105.tags,"evolution
yeast
block
gene regulation
networks
"
195,1794647.tags,"algorithms
phd
modelling
structure
classic
"
196,238188.tags,"algorithms
classic
"
197,354027.tags,"embl
binding
structure
networks
phd
"
198,415502.tags,"formats
informatics
"
199,466068.tags,"yeast
block
gene regulation
experimental
networks
"
200,477450.tags,"structure
yeast
phd
binding
embl
"
201,560813.tags,"networks
binding
structure
yeast
"
202,101.tags,"motifs
networks
"
203,307461.tags,"motifs
networks
"
204,363614.tags,"motifs
networks
"
205,106364.tags,"microrna
prediction
target
"
206,1116998.tags,"prediction
gene
network
"
207,1133633.tags,"alignment
rna
structure
secondary structure
secondary
"
208,118727.tags,"structure
rna
prediction
secondary
"
