,fileName,tags
0,43,systems biology;systems;biological model;robustness;emergence
1,43,design;cell;metabolism;intro;parsimony
2,43,engineering;2002;network;robustness;biology
3,43,robustness;engineering;control
4,43,systems biology;robustness
5,43,key  systems biology;key  robustness;type  review;key  regulatory network
6,43,modeling;complexity;networks
7,44,complexity;graphs;network
8,44,exploring;network;networks
9,44,social networks;networks
10,44,adaptive systems;networks;complexity;bistability
11,44,networks;complex
12,44,neurons;networks
13,44,complex networks;survey
14,44,complexity;small world;network;2001
15,44,social networks;graph mining;graph
16,44,coupled oscillator;small world;complex networks
17,44,review;network biological
18,44,review;networks;survey;strogatz
19,44,networks;complex
20,44,review;network;graph
21,47,complexity;networks
22,47,model;small world;navigation;complex networks
23,47,networks;navigation;small world;search
24,47,navigation;citeulike;networks
25,47,web graph;social
26,47,small world;network
27,47,small world;networks
28,99,small world;clustering;model;social networks;complex networks
29,99,complex systems;complex networks;network;small world
30,99,model;network
31,99,networks;small world
32,99,dynamics;networks
33,99,small world;network dynamics
34,99,graphs;network
35,99,theoretical;small world;networks;dynamics
36,99,bistability;networks;complexity;time oriented science
37,99,small world;social networks;small world networks
38,99,complex;dynamics;systems;network
39,99,datamining;network;graphs
40,99,networks;dynamics
41,99,smallworld;network;graph;thesis
42,99,small world;networks;disease;dynamic
43,101,combinatorics;networks;applied math;complexity
44,101,link analysis;web characterization;data mining
45,101,motifs;network
46,101,graphs;datamining;network
47,101,motifs;networks;original
48,101,2002;complexity;network;sub graph pattern;motif
49,101,combinatorics;computer science;motifs;complexity;applied math;network;web graph;sub graph pattern;motif;networks;original
50,101,networks;motifs
51,101,net paper;networks
52,101,networks;motifs
53,101,motifs;network
54,101,motif;network
55,101,motifs;networks
56,101,protein protein;protein;modularity;patterns;networks
57,101,sysbio;motifs;networks;network
58,229,evolution;msa;rodents;genome
59,229,system  mouse;key  genome
60,229,mouse;genomepaper
61,229,genome;mouse
62,229,whole genome;mouse;genome;comparative genomics;sequence
63,229,whole genome;sequencing
64,229,cited;11
65,229,comparative genomics;mouse;genome paper
66,248,systemsbiology;sec background sysbio;review;sysbio;overview;dt
67,248,systems biology;review
68,248,systemsbiology;review
69,248,review;sysbio;printed;plasticity;overview;systemsbiology
70,248,systemsbiology;review
71,249,biological model;systems biology;modelling
72,249,modelling;complexity;2002;biology
73,249,review;systems biology
74,249,computational;biology;systems
75,249,neuron;intro;evolution;informationtheory;simulation;metabolism;cas
76,249,overview;sec background sysbio;review;systemsbiology;sysbio;dt
77,272,evolution;motifs
78,272,genome;network;regulatory;topology
79,272,scale free;transcription network
80,272,network;dynamics
81,272,regulation;trn;network;transcription
82,272,protein networks;systems biology
83,272,topology;networks
84,272,dynamics;yeast;simulation;network;metabolism
85,272,reconstruct pathway;graph based analysis;bio
86,272,tfs;bioinformatics;yeast
87,272,dynamic;regulatory;network
88,272,datasets;networks
89,292,agi;ai
90,292,experimental;biological;for;design;systems
91,292,design;literature based discovery;biological;scientist;robot;automation;experimental;systems;for
92,2100,yeast;proteomics;systems;analysis;array;methodspaper;genomics;network;integration;deletion;expression;model;bioinformatics
93,2100,genome;perturbed;protein;network;metabolic
94,2100,systemsbiology;popcorn
95,2100,genomics;networks;metabolic networks;bioinformatics;systems biology;proteomics
96,2100,data integration;reverse engineering
97,2107,yeast;networks
98,2107,affin cut;review
99,2107,transcriptional regulation;network;thesis;genomics;yeast;networks;bivoc;chip
100,2107,network motifs;tfnets
101,2107,chip;genomics;transcriptional regulation;yeast
102,2107,yeast;genomic
103,2107,gene;expression;feedback;yeast
104,2107,yeast;networks
105,2107,chip2;cis regulation;transcription;reconstruction;network
106,3594,network;interaction;protein protein
107,3594,sysbio;networks;regulation;transcription;yeast
108,3594,networks;motifs
109,3594,motifs;sysbio;networks
110,3594,genetics;regulation;network
111,3594,networks;motifs
112,3594,regulatory;network;network motif;p2p
113,80410,long evans;neuroscience;cat;two photon;rat;imaging;column;calcium;cortex;visual
114,80410,neuroimaging;network;functional;cellular;neuroanatomy;architecture
115,80410,twophoton;optical imaging;localcircuit;neuroanatomy
116,80410,brain anatomy;methods;neuro tech;neuro connectivity
117,80410,visual cortex;optical imaging;columnar organization
118,80410,visual;imaging;cortex;neuroscience
